Temps 	Amplitude 

0   0

2.9808E-6	70.6203

2.9992E-6	70.6225

3.0176E-6	70.4441

3.036E-6	70.1723

3.0544E-6	69.8912

3.0728E-6	69.7241

3.0912E-6	69.7107

3.1096E-6	69.8469

3.128E-6	70.1618

3.1464E-6	70.3511

3.1648E-6	70.3388

3.1832E-6	70.0942

3.2016E-6	69.8484

3.22E-6	69.8398

3.2384E-6	70.1067

3.2568E-6	70.4565

3.2752E-6	70.6476

3.2936E-6	70.6946

3.312E-6	70.6071

3.3304E-6	70.5482

3.3488E-6	70.4944

3.3672E-6	70.3912

3.3856E-6	70.3048

3.404E-6	70.1447

3.4224E-6	69.9276

3.4408E-6	69.6781

3.4592E-6	69.5699

3.4776E-6	69.4772

3.496E-6	69.3931

3.5144E-6	69.2046

3.5328E-6	68.9993

3.5512E-6	68.9315

3.5696E-6	69.0105

3.588E-6	69.2166

3.6064E-6	69.4133

3.6248E-6	69.5572

3.6432E-6	69.628

3.6616E-6	69.7519

3.68E-6	69.8648

3.6984E-6	69.8648

3.7168E-6	69.88

3.7352E-6	70.0346

3.7536E-6	70.3054

3.772E-6	70.5714

3.7904E-6	70.7614

3.8088E-6	70.7579

3.8272E-6	70.458

3.8456E-6	70.0991

3.864E-6	69.9489

3.8824E-6	70.0077

3.9008E-6	70.1188

3.9192E-6	70.2514

3.9376E-6	70.2356

3.956E-6	70.0683

3.9744E-6	69.8338

3.9928E-6	69.5063

4.0112E-6	69.097

4.0296E-6	68.7804

4.048E-6	68.7562

4.0664E-6	68.9733

4.0848E-6	69.3584

4.1032E-6	69.6232

4.1216E-6	69.6164

4.14E-6	69.4127

4.1584E-6	69.177

4.1768E-6	69.0762

4.1952E-6	69.1676

4.2136E-6	69.3379

4.232E-6	69.3684

4.2504E-6	69.3495

4.2688E-6	69.3978

4.2872E-6	69.5697

4.3056E-6	69.8249

4.324E-6	69.966

4.3424E-6	69.9231

4.3608E-6	69.838

